age,diet,height,pets,sex,status
28,strictly anything,69,likes dogs,m,single
24,mostly anything,43,dislikes dogs and likes cats,m,single
22,NA,65,has dogs and dislikes cats,m,single
26,NA,66,likes dogs and likes cats,f,single
22,mostly vegetarian,63,has cats,f,single
25,strictly anything,70,NA,m,single
32,NA,71,NA,m,single
46,anything,66,has dogs and has cats,f,single
27,NA,65,has dogs and has cats,f,single
34,NA,68,likes dogs and has cats,m,single
27,NA,72,NA,m,single
30,NA,74,NA,m,single
25,mostly anything,68,NA,m,single
26,NA,71,likes cats,m,single
27,NA,70,likes dogs,m,single
36,strictly anything,70,NA,m,single
33,NA,71,likes cats,m,single
34,NA,70,likes dogs and likes cats,m,single
20,anything,74,NA,m,single
30,mostly anything,70,NA,m,single
21,NA,70,NA,m,single
34,NA,71,likes cats,m,single
32,anything,71,likes dogs and has cats,m,single
26,mostly anything,75,likes dogs,m,single
28,mostly anything,71,NA,m,single
31,mostly anything,69,likes dogs and likes cats,m,single
29,mostly anything,69,NA,m,single
35,strictly anything,68,likes dogs and likes cats,m,single
28,NA,64,has dogs and likes cats,f,single
26,anything,78,likes dogs and likes cats,m,single
32,NA,68,NA,m,single
35,NA,71,likes dogs and likes cats,m,single
27,mostly anything,71,likes dogs and likes cats,m,single
27,mostly anything,73,likes dogs and has cats,m,single
41,NA,65,NA,m,single
31,mostly anything,74,likes dogs and likes cats,m,single
36,NA,66,NA,f,single
26,strictly vegan,63,likes dogs and likes cats,f,seeing someone
27,NA,69,NA,m,single
23,NA,75,likes dogs,m,single
51,other,65,likes dogs,f,single
28,strictly other,63,likes dogs and likes cats,f,single
26,anything,71,NA,m,single
27,mostly anything,59,likes dogs,f,single
24,mostly anything,68,likes dogs and likes cats,m,single
28,mostly anything,72,likes dogs and has cats,m,single
34,NA,64,NA,m,single
26,mostly anything,68,NA,m,single
36,NA,70,likes dogs,m,single
21,mostly anything,73,has dogs and likes cats,m,single
65,NA,68,has cats,f,single
21,mostly anything,67,NA,f,single
30,mostly anything,70,NA,m,single
40,NA,69,NA,m,single
21,mostly anything,74,likes dogs and likes cats,m,single
52,NA,60,has dogs and has cats,f,single
29,mostly vegetarian,64,likes dogs and likes cats,f,single
30,NA,74,NA,m,single
55,NA,70,NA,m,single
38,strictly anything,70,likes dogs,m,single
44,mostly anything,71,likes dogs,m,single
36,NA,66,likes dogs,f,single
42,NA,63,NA,f,single
31,NA,65,likes dogs,f,single
43,mostly vegetarian,64,likes dogs,f,single
42,mostly anything,65,likes dogs and likes cats,f,single
23,NA,75,NA,m,single
27,mostly anything,62,dislikes dogs and dislikes cats,f,single
32,mostly anything,72,likes dogs and has cats,m,single
37,NA,76,likes dogs and dislikes cats,m,single
28,NA,65,NA,f,single
44,NA,71,likes dogs and has cats,f,single
42,NA,69,has dogs,m,single
26,NA,69,likes dogs and likes cats,m,single
26,strictly anything,68,has dogs,m,single
18,NA,66,NA,f,single
30,mostly anything,62,likes dogs and dislikes cats,f,single
38,strictly anything,62,likes cats,f,single
29,anything,72,NA,m,single
24,NA,60,likes dogs,f,single
19,mostly anything,63,has dogs and likes cats,f,single
24,strictly anything,67,likes dogs and likes cats,m,single
45,strictly anything,68,dislikes dogs and has cats,m,available
28,mostly anything,68,likes dogs and likes cats,m,single
26,mostly other,75,likes dogs and likes cats,m,single
33,mostly anything,71,likes dogs and likes cats,m,single
27,NA,70,likes dogs and dislikes cats,m,single
33,mostly anything,65,likes dogs and dislikes cats,m,single
26,NA,76,NA,m,single
43,mostly vegan,71,has dogs and likes cats,m,single
32,mostly vegetarian,65,NA,m,single
51,NA,71,likes dogs and dislikes cats,m,single
37,NA,63,likes dogs and has cats,f,single
33,mostly other,70,likes dogs and likes cats,f,single
28,NA,70,has dogs,f,single
61,anything,66,likes dogs and has cats,f,single
37,NA,64,has dogs and dislikes cats,f,single
45,strictly anything,70,NA,m,available
54,NA,63,has dogs and has cats,f,single
31,NA,65,NA,f,single
25,anything,69,likes dogs and has cats,m,single
29,mostly vegan,68,likes dogs and likes cats,f,single
20,mostly other,71,has dogs,f,single
37,NA,68,NA,m,available
20,anything,68,likes dogs and likes cats,f,single
22,mostly vegetarian,67,NA,f,single
24,mostly anything,67,likes dogs and likes cats,f,single
58,NA,65,likes dogs and likes cats,f,single
27,mostly anything,65,has dogs and dislikes cats,f,single
24,anything,64,likes dogs and likes cats,f,single
47,NA,52,likes dogs and likes cats,f,single
31,mostly anything,66,NA,f,single
55,mostly vegetarian,63,likes dogs and has cats,f,single
25,NA,69,NA,m,single
23,mostly vegetarian,70,likes dogs and dislikes cats,m,single
23,NA,65,NA,f,single
27,NA,64,has dogs and has cats,f,single
25,NA,73,NA,m,single
33,mostly anything,69,likes dogs,m,single
27,mostly anything,66,likes dogs and likes cats,m,single
30,mostly anything,72,likes dogs,m,single
29,mostly anything,62,NA,f,single
19,mostly anything,64,has dogs and dislikes cats,f,single
30,strictly anything,76,NA,m,single
25,strictly anything,69,likes dogs and likes cats,m,available
23,mostly anything,73,likes dogs and likes cats,m,single
42,anything,61,NA,f,single
37,mostly anything,70,likes dogs and has cats,m,single
27,mostly vegetarian,69,likes dogs,f,single
35,NA,74,has dogs and likes cats,m,single
28,anything,68,likes dogs and likes cats,m,single
35,anything,69,likes dogs and likes cats,m,single
22,NA,69,has cats,m,single
41,NA,67,has dogs and has cats,m,single
26,mostly vegetarian,69,likes dogs and likes cats,m,single
27,NA,73,likes dogs and likes cats,m,single
35,anything,73,likes dogs and likes cats,m,single
44,NA,70,NA,m,single
35,NA,73,likes dogs and has cats,m,single
37,anything,69,has cats,m,single
29,NA,67,likes dogs and likes cats,m,single
21,NA,65,likes dogs and likes cats,m,single
26,strictly anything,76,likes dogs and dislikes cats,m,single
29,mostly anything,71,likes dogs,m,single
27,mostly anything,69,NA,m,single
24,mostly anything,75,NA,m,single
21,NA,76,NA,m,single
65,NA,68,likes dogs and has cats,m,single
24,anything,70,has dogs,m,single
30,NA,72,NA,m,single
33,strictly anything,69,likes dogs and likes cats,m,single
28,NA,67,likes dogs and likes cats,f,single
49,mostly anything,67,likes dogs,m,single
23,mostly anything,73,likes dogs,m,single
33,mostly vegetarian,74,likes dogs and likes cats,m,single
23,mostly anything,65,likes dogs and likes cats,f,single
26,anything,63,likes dogs and has cats,f,single
24,anything,67,likes dogs and likes cats,m,single
24,NA,64,likes dogs and has cats,f,seeing someone
31,mostly other,63,NA,f,single
47,mostly anything,69,likes dogs and dislikes cats,m,single
31,NA,68,likes dogs and likes cats,m,single
29,NA,69,likes dogs,m,available
25,NA,71,likes dogs,m,single
31,NA,71,has dogs and has cats,m,single
26,anything,70,likes dogs and dislikes cats,m,single
30,mostly anything,72,likes dogs,m,single
56,NA,72,likes dogs and likes cats,m,single
23,NA,67,NA,m,single
26,NA,66,has dogs,f,single
19,mostly anything,64,has dogs,f,single
24,NA,64,likes dogs and likes cats,f,single
31,mostly other,71,likes dogs and likes cats,m,available
31,mostly vegetarian,64,NA,f,single
43,vegetarian,66,likes dogs and likes cats,m,single
44,anything,73,likes dogs and likes cats,m,single
28,mostly anything,61,NA,m,single
28,mostly anything,71,likes dogs,m,single
45,mostly anything,64,likes dogs,f,single
47,NA,69,NA,m,single
29,strictly vegan,70,likes dogs and likes cats,m,single
28,mostly anything,65,likes dogs,m,single
30,mostly vegetarian,74,likes dogs and likes cats,m,single
26,anything,72,likes dogs and likes cats,m,seeing someone
35,mostly anything,79,has dogs and has cats,m,single
34,vegetarian,73,likes dogs and likes cats,m,single
36,mostly anything,72,likes dogs and has cats,m,single
27,NA,66,likes dogs and dislikes cats,f,single
20,mostly anything,67,has dogs and dislikes cats,f,single
20,mostly anything,68,likes dogs and likes cats,f,single
29,mostly vegetarian,66,likes dogs and likes cats,m,seeing someone
22,mostly anything,73,NA,m,single
32,NA,68,likes dogs,m,single
22,NA,73,has dogs,m,single
31,strictly vegan,71,likes dogs and likes cats,m,single
38,mostly anything,68,likes dogs and likes cats,m,single
38,anything,70,has dogs and likes cats,m,single
26,mostly anything,73,likes dogs and has cats,m,single
24,mostly anything,68,likes dogs and likes cats,m,single
27,anything,75,NA,m,single
24,NA,73,NA,m,single
28,strictly vegetarian,76,NA,m,single
36,mostly anything,67,likes dogs and likes cats,m,single
24,other,68,has dogs,m,single
37,NA,71,likes dogs and likes cats,m,single
27,NA,68,likes dogs and has cats,m,single
25,mostly anything,69,likes dogs and dislikes cats,m,single
26,strictly anything,71,likes dogs,m,single
30,mostly anything,71,likes dogs and dislikes cats,m,single
32,other,75,likes dogs,m,single
45,NA,68,NA,f,single
21,mostly anything,65,NA,f,single
31,NA,79,has dogs,m,single
30,NA,70,has dogs and likes cats,m,single
62,mostly anything,63,likes dogs and has cats,f,single
33,NA,70,likes cats,m,single
46,mostly vegetarian,72,NA,m,single
29,mostly anything,71,has dogs and likes cats,f,available
24,NA,64,likes dogs,f,single
26,mostly vegan,68,has dogs and likes cats,m,single
37,NA,62,NA,f,single
26,strictly vegetarian,64,likes dogs and has cats,f,single
26,mostly anything,76,likes dogs and dislikes cats,m,single
39,NA,68,NA,f,single
27,NA,65,likes dogs and likes cats,f,single
29,mostly anything,70,likes dogs and likes cats,f,single
39,anything,67,has dogs,f,single
46,NA,64,likes dogs,f,single
26,mostly vegetarian,61,likes dogs and likes cats,f,single
23,mostly vegetarian,72,NA,f,single
22,mostly anything,67,likes dogs,f,single
34,NA,62,likes dogs and likes cats,f,single
39,strictly anything,70,likes dogs,m,single
29,NA,69,likes dogs and has cats,f,single
29,strictly anything,75,likes dogs and likes cats,m,single
44,anything,77,likes dogs and likes cats,m,single
32,NA,72,NA,m,single
25,NA,71,NA,m,single
41,NA,72,NA,m,single
27,strictly vegan,66,has dogs and likes cats,f,single
34,mostly anything,68,likes dogs and likes cats,m,single
43,mostly anything,68,has dogs,f,single
26,mostly anything,74,likes dogs and likes cats,m,single
28,NA,71,NA,m,single
28,NA,70,likes dogs,m,single
24,mostly anything,67,NA,m,single
29,NA,74,likes dogs and likes cats,m,single
54,mostly anything,73,likes dogs and likes cats,m,single
36,strictly other,61,has cats,f,single
19,mostly anything,61,likes dogs and likes cats,f,single
23,mostly anything,69,NA,m,single
29,NA,65,NA,f,single
39,NA,68,likes dogs,f,available
59,anything,64,has cats,f,single
21,mostly anything,75,NA,m,single
44,other,72,NA,m,single
23,NA,69,likes dogs and likes cats,f,single
32,mostly anything,66,has dogs,m,single
34,strictly anything,64,has cats,f,seeing someone
37,NA,69,likes dogs and likes cats,m,available
48,NA,70,has dogs and likes cats,f,single
22,NA,63,NA,f,single
38,mostly anything,62,likes dogs and likes cats,f,single
22,strictly anything,67,NA,f,single
28,mostly anything,66,likes dogs and likes cats,f,single
44,NA,65,NA,f,available
25,NA,63,has dogs and dislikes cats,f,single
45,mostly other,76,likes dogs,m,single
28,strictly anything,64,likes dogs and likes cats,f,single
27,mostly vegetarian,65,NA,f,single
26,strictly anything,72,likes dogs,m,single
29,NA,71,NA,m,single
26,strictly anything,74,likes dogs and likes cats,m,single
25,mostly vegetarian,63,has dogs and likes cats,f,single
37,NA,77,likes dogs,m,single
22,strictly anything,75,likes dogs and likes cats,m,single
24,strictly anything,70,has dogs,m,single
29,NA,63,has cats,f,single
32,NA,69,likes dogs and likes cats,m,single
32,mostly anything,68,NA,m,single
24,strictly vegetarian,67,has cats,f,single
30,NA,67,NA,f,single
44,anything,66,likes dogs,m,single
44,NA,70,NA,m,single
46,mostly anything,71,likes cats,m,single
51,NA,65,NA,f,single
50,anything,71,likes dogs and likes cats,f,single
23,mostly anything,64,has cats,f,single
33,mostly anything,61,has dogs and has cats,f,single
34,NA,66,dislikes dogs and likes cats,f,seeing someone
29,NA,71,likes dogs and likes cats,f,single
23,NA,73,NA,m,single
29,mostly anything,66,NA,f,single
25,NA,64,likes dogs and dislikes cats,f,single
51,mostly vegetarian,71,NA,m,single
34,NA,71,NA,m,single
29,strictly anything,70,NA,f,single
50,NA,63,has dogs and has cats,f,single
39,anything,72,likes dogs,m,single
29,NA,71,likes dogs and likes cats,m,single
62,NA,66,has dogs,f,single
23,mostly other,70,dislikes dogs and likes cats,f,seeing someone
30,anything,70,has cats,f,single
37,mostly anything,72,likes dogs and likes cats,m,single
55,NA,95,dislikes dogs and dislikes cats,m,single
28,mostly anything,74,has cats,m,single
24,mostly anything,68,NA,f,single
23,NA,67,likes dogs,f,single
30,mostly anything,68,likes dogs and has cats,f,single
29,anything,70,likes dogs and likes cats,f,single
19,other,69,likes dogs and likes cats,f,single
24,anything,67,likes dogs and dislikes cats,f,single
25,strictly anything,65,likes dogs,f,single
26,anything,66,likes dogs and likes cats,f,single
25,mostly anything,66,NA,f,single
24,NA,64,has dogs and likes cats,f,single
21,mostly anything,64,has dogs and likes cats,f,single
28,mostly anything,60,likes dogs,f,single
31,NA,66,has cats,f,single
25,vegetarian,71,likes dogs and likes cats,f,single
26,mostly vegetarian,69,NA,f,single
25,NA,64,NA,f,single
24,anything,66,likes dogs and likes cats,f,single
24,vegetarian,67,likes cats,f,single
23,strictly anything,70,likes dogs and likes cats,f,single
26,mostly anything,72,likes dogs and likes cats,f,single
23,vegetarian,67,has dogs and has cats,f,single
25,NA,68,likes dogs and likes cats,f,single
37,strictly anything,70,likes dogs and likes cats,f,single
25,NA,63,has dogs,f,single
29,NA,66,has dogs,m,single
24,NA,63,dislikes dogs and dislikes cats,f,single
23,anything,63,NA,f,single
34,anything,71,likes dogs and likes cats,m,single
22,anything,72,has dogs and has cats,m,single
35,mostly anything,70,likes cats,m,single
25,NA,67,likes dogs and likes cats,m,single
18,NA,69,NA,f,single
32,mostly anything,65,has dogs,f,single
34,mostly vegetarian,64,has dogs and has cats,f,single
32,NA,62,likes dogs and has cats,f,single
39,anything,71,NA,m,single
35,mostly vegetarian,68,likes cats,f,single
20,mostly anything,76,likes dogs,m,single
50,NA,61,likes dogs and likes cats,f,available
28,mostly anything,64,likes dogs,f,available
33,NA,64,has dogs and dislikes cats,f,single
22,strictly vegetarian,61,NA,f,single
26,NA,72,NA,m,single
22,strictly anything,71,has dogs,m,single
55,mostly anything,62,has dogs,f,single
47,mostly anything,66,likes cats,f,single
47,NA,71,has dogs,m,single
48,NA,63,NA,f,single
28,NA,72,likes dogs and likes cats,m,single
46,NA,75,NA,m,single
37,NA,71,has dogs,m,single
30,NA,72,likes dogs,m,single
42,mostly anything,69,has dogs,m,single
23,mostly vegan,72,NA,m,single
62,NA,72,likes dogs and has cats,m,single
32,NA,67,likes dogs,f,single
35,mostly anything,63,likes dogs,f,single
24,anything,64,likes dogs and likes cats,f,single
33,NA,68,NA,m,single
39,mostly vegetarian,68,likes cats,m,single
23,NA,67,has dogs,m,single
26,mostly anything,65,likes dogs,m,single
22,anything,70,NA,m,single
30,mostly anything,70,likes dogs and likes cats,m,single
22,NA,70,likes dogs and likes cats,m,single
28,mostly vegetarian,69,has dogs and likes cats,m,single
32,NA,69,likes dogs and likes cats,m,single
20,NA,74,NA,m,single
34,mostly anything,70,likes dogs,m,single
31,NA,70,likes cats,m,single
36,NA,74,likes dogs and likes cats,m,single
25,NA,73,NA,m,single
35,NA,69,NA,m,single
40,NA,71,likes dogs and likes cats,m,seeing someone
59,mostly anything,66,likes dogs,m,single
49,mostly anything,74,likes dogs and likes cats,m,single
24,NA,63,has dogs and likes cats,f,available
43,mostly anything,65,dislikes dogs and likes cats,f,single
33,NA,68,NA,m,seeing someone
28,mostly anything,71,likes dogs,m,single
26,mostly vegan,65,likes cats,f,available
20,NA,66,has dogs,m,single
50,NA,65,has cats,f,single
21,NA,66,likes dogs and has cats,f,single
59,mostly anything,65,NA,f,single
31,mostly anything,65,NA,f,single
31,NA,66,NA,f,single
41,mostly anything,61,has dogs,f,single
34,NA,62,likes dogs and likes cats,f,single
20,anything,74,NA,m,single
31,mostly anything,68,NA,m,single
38,NA,71,has dogs,m,single
26,NA,64,likes dogs,f,single
34,NA,67,likes dogs,f,single
28,NA,60,has cats,f,single
40,mostly anything,63,NA,f,single
37,anything,65,likes dogs and likes cats,f,single
38,mostly anything,62,has dogs,f,single
26,strictly anything,70,dislikes dogs and likes cats,m,single
19,mostly anything,75,likes dogs and has cats,m,single
34,mostly anything,73,likes dogs,m,single
35,anything,72,likes dogs,m,single
30,vegan,73,likes dogs and has cats,m,available
23,mostly vegetarian,68,likes dogs,m,single
27,anything,72,NA,m,single
41,NA,70,likes dogs,m,single
43,NA,67,likes dogs and likes cats,m,single
45,anything,71,likes dogs,f,single
37,NA,75,likes dogs and likes cats,m,single
26,vegetarian,66,NA,m,single
35,strictly anything,75,NA,m,single
42,NA,66,NA,m,single
33,NA,73,likes dogs,m,single
23,mostly anything,70,likes dogs and dislikes cats,m,single
48,anything,74,NA,m,single
31,mostly anything,70,likes dogs and has cats,m,single
24,mostly anything,66,likes dogs and likes cats,m,single
37,NA,60,NA,f,single
47,anything,67,likes dogs and has cats,m,single
48,NA,62,NA,f,single
41,mostly anything,64,NA,f,single
33,NA,69,likes dogs and dislikes cats,f,single
25,NA,71,NA,m,available
28,anything,71,likes dogs and dislikes cats,m,single
20,NA,64,has cats,f,single
27,NA,72,NA,m,single
40,mostly anything,69,NA,m,single
34,mostly anything,72,likes dogs and likes cats,m,single
25,anything,68,NA,m,single
38,NA,68,likes dogs,f,single
40,mostly anything,67,likes dogs and likes cats,f,single
26,mostly anything,65,likes dogs,f,single
27,mostly anything,72,likes dogs and has cats,m,single
29,strictly vegetarian,69,likes cats,m,single
27,NA,70,NA,m,single
23,anything,70,likes dogs,m,single
40,NA,67,likes dogs and has cats,m,available
39,mostly anything,66,NA,m,single
50,NA,72,likes dogs and likes cats,m,single
23,NA,71,NA,m,single
31,mostly anything,73,has dogs,m,single
55,anything,75,likes dogs and likes cats,m,single
27,mostly anything,72,has dogs and likes cats,m,single
41,strictly vegetarian,69,likes dogs and likes cats,m,single
25,anything,63,likes dogs,f,single
24,strictly anything,73,likes dogs and likes cats,m,single
28,anything,66,likes dogs,f,single
38,NA,68,likes dogs,m,single
26,mostly anything,70,NA,f,single
33,mostly anything,65,NA,f,single
30,mostly anything,72,likes dogs,m,single
24,mostly anything,67,has dogs and likes cats,m,single
22,mostly other,72,has dogs,m,single
33,NA,67,likes dogs,m,single
25,NA,69,likes dogs,m,single
25,mostly anything,65,has dogs,m,single
22,NA,68,likes dogs and likes cats,f,single
32,NA,61,likes dogs,f,single
24,mostly anything,68,likes dogs and likes cats,f,single
19,NA,60,NA,f,single
26,mostly anything,65,likes dogs and likes cats,f,single
30,mostly anything,67,NA,m,seeing someone
27,mostly anything,71,has cats,m,single
36,anything,69,likes dogs and likes cats,f,single
24,mostly anything,73,has dogs,m,single
23,NA,69,likes dogs,m,single
25,mostly anything,76,likes dogs and likes cats,m,single
36,NA,69,likes dogs,m,single
27,mostly anything,72,NA,m,single
54,NA,66,NA,m,single
28,NA,68,likes dogs,m,single
20,mostly anything,68,has dogs and dislikes cats,f,single
28,NA,71,NA,m,single
35,NA,71,likes dogs and likes cats,m,single
24,mostly anything,74,likes dogs,m,single
20,anything,71,likes dogs and has cats,m,single
41,NA,66,NA,m,single
33,NA,67,likes dogs,f,single
44,mostly vegetarian,66,likes dogs and likes cats,f,single
25,mostly anything,64,likes dogs and dislikes cats,f,single
27,mostly anything,67,likes dogs and likes cats,m,single
23,mostly anything,74,NA,m,available
25,mostly anything,71,likes dogs and likes cats,m,single
26,strictly vegetarian,72,has dogs and likes cats,m,single
38,NA,73,likes dogs and likes cats,m,single
35,anything,69,likes dogs and likes cats,m,seeing someone
21,NA,71,likes dogs and has cats,m,single
23,NA,65,has dogs,m,single
36,NA,70,likes dogs and likes cats,m,single
32,NA,75,NA,m,single
33,strictly anything,69,NA,m,single
27,NA,74,likes dogs and likes cats,m,single
30,mostly vegan,71,NA,m,single
25,NA,75,NA,m,single
27,NA,71,likes dogs and dislikes cats,m,single
29,mostly kosher,72,NA,m,single
27,mostly anything,67,likes dogs and likes cats,m,single
29,mostly anything,71,likes dogs and likes cats,m,single
29,mostly anything,67,likes dogs,m,single
24,mostly anything,69,likes dogs and likes cats,m,single
24,strictly anything,70,NA,m,single
23,NA,68,has dogs and likes cats,m,single
24,vegetarian,65,likes dogs,f,single
22,mostly vegetarian,61,NA,f,single
25,strictly vegetarian,71,likes dogs and likes cats,m,single
31,other,66,likes dogs,m,single
27,mostly anything,70,NA,m,single
51,mostly anything,67,likes dogs and likes cats,m,single
22,anything,67,likes dogs,f,single
39,mostly anything,70,has dogs,m,single
32,NA,71,likes dogs and likes cats,m,single
34,anything,66,likes dogs and likes cats,m,single
40,NA,72,NA,m,single
29,NA,76,NA,m,single
29,mostly anything,69,likes dogs and likes cats,m,single
27,NA,69,NA,m,single
28,vegetarian,70,likes dogs and dislikes cats,m,single
35,anything,64,has dogs and dislikes cats,f,single
31,NA,71,likes dogs and likes cats,m,single
26,NA,70,NA,m,single
35,strictly anything,73,likes dogs,m,single
25,mostly anything,70,likes dogs,m,single
34,NA,73,likes dogs,m,single
29,mostly anything,61,NA,f,single
24,anything,67,likes dogs,f,single
27,NA,70,likes dogs and likes cats,m,single
27,mostly anything,64,NA,m,single
38,mostly vegan,72,likes dogs and has cats,m,single
33,strictly anything,69,NA,m,single
41,NA,76,NA,m,single
27,anything,72,NA,m,single
44,mostly vegetarian,68,has dogs,f,single
24,mostly anything,72,likes dogs and likes cats,m,single
34,NA,69,NA,m,single
46,mostly anything,75,NA,m,single
29,NA,73,likes dogs and likes cats,m,single
30,mostly anything,64,has dogs and likes cats,m,single
47,mostly anything,65,likes dogs and dislikes cats,f,single
31,strictly anything,71,likes dogs and likes cats,m,single
27,NA,68,likes dogs,m,single
33,NA,67,NA,m,single
52,NA,72,likes dogs and likes cats,m,single
28,NA,61,NA,f,single
32,anything,70,likes dogs and has cats,m,single
28,NA,65,dislikes dogs and dislikes cats,f,single
26,NA,69,likes dogs and likes cats,m,single
46,NA,67,likes dogs and likes cats,m,single
26,NA,71,NA,m,single
31,mostly anything,70,NA,m,single
24,NA,68,NA,f,single
42,strictly anything,68,likes dogs and likes cats,m,available
28,mostly anything,72,NA,m,single
25,mostly anything,74,likes dogs and likes cats,m,single
25,mostly anything,72,likes dogs and likes cats,m,single
44,NA,67,likes dogs,f,single
25,NA,63,NA,f,single
20,strictly anything,67,likes dogs and dislikes cats,m,seeing someone
30,mostly anything,75,likes dogs and likes cats,m,single
33,strictly anything,67,has dogs and has cats,m,single
22,mostly anything,68,NA,f,single
33,NA,65,likes dogs,f,single
42,anything,71,NA,f,single
31,mostly anything,69,likes dogs and has cats,f,single
32,mostly anything,62,likes dogs,f,single
42,NA,63,likes dogs and likes cats,f,single
26,mostly anything,69,likes dogs,f,single
25,anything,73,likes dogs and likes cats,m,single
67,NA,70,has cats,m,single
57,mostly other,65,NA,f,single
43,strictly anything,65,likes dogs and likes cats,f,single
24,NA,62,NA,f,single
30,strictly anything,69,NA,m,single
31,mostly anything,73,likes dogs and likes cats,m,single
20,NA,70,NA,m,single
29,mostly anything,67,has dogs,f,single
26,NA,67,likes dogs,f,single
27,strictly anything,70,likes dogs and dislikes cats,m,single
22,mostly vegetarian,68,likes dogs and has cats,f,single
26,mostly anything,70,likes dogs and dislikes cats,m,single
38,NA,68,likes dogs and likes cats,m,single
28,mostly anything,68,has dogs and has cats,m,single
25,NA,71,has dogs and likes cats,m,single
55,NA,71,has dogs and likes cats,m,single
27,NA,67,NA,m,single
54,anything,71,NA,m,single
34,NA,69,likes dogs and likes cats,m,single
33,anything,68,NA,m,single
24,strictly vegetarian,72,NA,m,single
36,NA,69,has dogs,m,single
40,NA,68,has dogs,f,single
22,NA,62,dislikes dogs and has cats,f,seeing someone
39,vegetarian,67,NA,f,single
54,strictly anything,69,likes dogs,m,single
53,mostly vegetarian,65,likes dogs and has cats,f,single
55,mostly vegetarian,67,NA,m,single
23,mostly vegetarian,72,has cats,m,single
27,NA,67,NA,m,single
52,NA,71,likes dogs and likes cats,m,single
32,NA,70,likes dogs and dislikes cats,m,single
41,mostly other,71,likes dogs and has cats,m,single
20,strictly anything,72,NA,m,single
52,NA,74,NA,m,single
28,NA,70,NA,m,single
41,NA,68,likes dogs and likes cats,m,single
30,anything,73,likes dogs,m,single
25,mostly anything,61,NA,f,single
29,NA,68,has dogs,m,single
58,mostly vegetarian,66,likes dogs and likes cats,m,single
58,NA,62,has cats,f,single
35,NA,71,has dogs,m,single
36,mostly anything,69,has dogs,m,single
20,NA,74,NA,m,single
41,NA,68,likes cats,m,single
36,NA,66,NA,f,single
26,mostly anything,71,NA,m,single
32,mostly anything,71,likes dogs,m,single
29,NA,67,NA,m,single
33,NA,66,likes dogs,m,single
66,mostly vegetarian,70,likes dogs and dislikes cats,m,single
30,mostly anything,69,likes dogs and likes cats,m,single
27,NA,69,dislikes dogs and likes cats,m,single
36,NA,65,dislikes cats,f,single
25,strictly anything,62,has dogs,f,single
42,mostly anything,64,NA,f,single
38,mostly anything,64,has dogs and has cats,f,single
60,anything,64,NA,m,single
37,NA,72,likes dogs,m,single
29,anything,65,NA,f,single
32,mostly anything,68,NA,m,single
35,anything,66,NA,f,single
24,anything,68,has cats,m,available
41,mostly anything,72,NA,m,single
30,strictly anything,64,likes dogs and likes cats,f,available
40,anything,72,likes dogs,m,single
27,mostly other,66,NA,f,single
28,NA,70,NA,m,single
38,NA,71,has dogs,m,single
35,mostly anything,67,NA,m,single
26,NA,77,NA,m,single
30,strictly anything,71,NA,m,single
23,NA,71,likes dogs,m,single
25,vegetarian,66,NA,f,single
35,strictly vegetarian,75,likes dogs and likes cats,m,single
26,mostly anything,71,has dogs,m,single
32,anything,70,likes dogs,m,single
25,NA,72,NA,m,single
26,anything,76,NA,m,single
42,mostly anything,69,likes dogs and has cats,f,single
26,NA,66,likes dogs and has cats,f,single
21,strictly anything,66,has dogs and likes cats,f,single
26,NA,64,NA,f,single
33,NA,64,NA,f,single
25,mostly anything,72,NA,m,single
25,strictly anything,65,likes dogs and dislikes cats,m,single
27,strictly anything,73,NA,m,single
27,mostly anything,64,NA,m,single
41,NA,76,NA,m,available
24,mostly anything,71,likes dogs and likes cats,m,single
20,mostly kosher,66,has dogs and has cats,f,single
31,NA,70,has dogs and has cats,f,single
43,NA,71,likes dogs and likes cats,m,single
39,anything,66,likes dogs and likes cats,f,single
32,strictly anything,62,likes dogs and likes cats,f,single
28,mostly other,71,has dogs and likes cats,f,single
33,mostly other,66,has dogs and likes cats,f,single
26,NA,62,likes dogs and has cats,f,single
35,NA,62,has dogs,f,single
31,mostly anything,64,likes dogs and likes cats,f,single
33,NA,67,NA,f,single
19,strictly vegetarian,72,NA,m,single
30,mostly anything,64,likes cats,f,single
35,mostly anything,68,likes dogs and dislikes cats,f,single
31,anything,63,NA,f,single
35,NA,72,has dogs and has cats,m,available
18,mostly vegetarian,65,likes cats,f,single
48,NA,72,likes dogs and has cats,m,single
38,NA,72,NA,m,married
29,anything,70,likes dogs and likes cats,m,single
27,NA,68,NA,f,single
28,NA,71,likes dogs and likes cats,m,single
33,NA,75,likes dogs and likes cats,m,married
46,NA,69,likes dogs and has cats,m,single
38,NA,70,likes dogs and likes cats,m,single
25,NA,73,likes dogs and likes cats,m,single
35,NA,59,likes dogs,f,single
43,NA,68,likes dogs and likes cats,m,single
39,NA,68,NA,m,single
40,NA,67,NA,f,single
29,mostly anything,72,likes dogs and has cats,m,single
34,mostly vegetarian,66,has dogs and likes cats,m,single
21,mostly vegetarian,64,likes dogs and likes cats,f,single
37,mostly vegetarian,62,likes dogs and has cats,f,single
38,strictly anything,73,NA,m,single
59,mostly vegetarian,70,NA,m,single
51,mostly vegetarian,68,likes dogs and likes cats,m,single
24,mostly anything,73,has dogs and likes cats,m,single
18,NA,65,has dogs and dislikes cats,m,single
